Date;Field;Treatment;Repeat;Root_weight;N_larvae;Observations
2025-06-19;1;FE;1;0,76;7;
2025-06-19;1;FE;2;0,16;1;
2025-06-19;1;FE;3;0,55;2;
2025-06-19;1;FE;4;0,72;1;
2025-06-19;1;FE;5;0,18;1;
2025-06-19;1;BE;1;0,17;1;
2025-06-19;1;BE;2;0,47;0;
2025-06-19;1;BE;3;0,57;3;
2025-06-19;1;BE;4;0,46;1;
2025-06-19;1;BE;5;0,36;3;
2025-06-19;1;FC;1;0,41;0;
2025-06-19;1;FC;2;1,68;4;
2025-06-19;1;FC;3;0,53;1;
2025-06-19;1;FC;4;0,75;5;
2025-06-19;1;FC;5;0,21;8;
2025-06-19;1;FO;1;0,17;2;
2025-06-19;1;FO;2;0,74;3;
2025-06-19;1;FO;3;0,31;0;
2025-06-19;1;FO;4;0,8;0;
2025-06-19;1;FO;5;0,43;0;
2025-06-19;2;FE;1;0,4;0;
2025-06-19;2;FE;2;1,03;2;
2025-06-19;2;FE;3;0,23;2;
2025-06-19;2;FE;4;0,64;2;
2025-06-19;2;FE;5;0,21;0;
2025-06-19;2;FC;1;0,44;1;
2025-06-19;2;FC;2;0,34;0;
2025-06-19;2;FC;3;0,98;0;
2025-06-19;2;FC;4;1,45;0;
2025-06-19;2;FC;5;0,88;3;
2025-06-19;2;BE;1;2,42;1;
2025-06-19;2;BE;2;1,38;0;
2025-06-19;2;BE;3;1,32;1;
2025-06-19;2;BE;4;0,98;0;
2025-06-19;2;BE;5;1,34;3;
2025-06-19;2;FO;1;0,63;0;
2025-06-19;2;FO;2;0,44;4;
2025-06-19;2;FO;3;0,36;0;
2025-06-19;2;FO;4;0,97;2;
2025-06-19;2;FO;5;0,49;0;
2025-06-19;3;FC;1;0,51;6;
2025-06-19;3;FC;2;0,63;3;
2025-06-19;3;FC;3;0,27;2;
2025-06-19;3;FC;4;0,28;2;
2025-06-19;3;FC;5;0,75;0;
2025-06-19;3;BE;1;0,61;3;
2025-06-19;3;BE;2;0,54;1;
2025-06-19;3;BE;3;0,37;4;
2025-06-19;3;BE;4;0,25;5;
2025-06-19;3;BE;5;0,18;4;
2025-06-19;3;FE;1;0,7;3;
2025-06-19;3;FE;2;3,15;5;
2025-06-19;3;FE;3;0,91;10;
2025-06-19;3;FE;4;0,35;1;
2025-06-19;3;FE;5;0,68;6;
2025-06-19;3;FO;1;0,35;2;
2025-06-19;3;FO;2;1,05;6;
2025-06-19;3;FO;3;0,57;2;
2025-06-19;3;FO;4;0,63;8;
2025-06-19;3;FO;5;1;7;
2025-06-19;4;FO;1;0,58;2;
2025-06-19;4;FO;2;0,38;5;
2025-06-19;4;FO;3;0,32;0;
2025-06-19;4;FO;4;1,06;1;
2025-06-19;4;FO;5;0,28;0;
2025-06-19;4;FC;1;0,78;2;
2025-06-19;4;FC;2;0,97;2;
2025-06-19;4;FC;3;1,37;0;
2025-06-19;4;FC;4;0,44;0;
2025-06-19;4;FC;5;0,98;3;
2025-06-19;4;BE;1;0,67;2;
2025-06-19;4;BE;2;0,63;10;
2025-06-19;4;BE;3;0,65;4;
2025-06-19;4;BE;4;1,04;1;
2025-06-19;4;BE;5;1,63;1;
2025-06-19;4;FE;1;0,38;0;
2025-06-19;4;FE;2;0,64;1;
2025-06-19;4;FE;3;0,5;1;
2025-06-19;4;FE;4;0,3;4;
2025-06-19;4;FE;5;2,07;2;
2025-06-19;5;BE;1;0,55;1;
2025-06-19;5;BE;2;0,4;2;
2025-06-19;5;BE;3;0,08;5;
2025-06-19;5;BE;4;0,25;4;
2025-06-19;5;BE;5;0,4;3;
2025-06-19;5;FC;1;0,42;3;
2025-06-19;5;FC;2;0,46;13;
2025-06-19;5;FC;3;0,42;0;
2025-06-19;5;FC;4;0,3;3;
2025-06-19;5;FC;5;0,24;1;
2025-06-19;5;FE;1;0,24;0;
2025-06-19;5;FE;2;0,14;0;
2025-06-19;5;FE;3;0,43;4;
2025-06-19;5;FE;4;0,63;0;
2025-06-19;5;FE;5;0,23;4;
2025-06-19;5;FO;1;0,16;2;
2025-06-19;5;FO;2;0,83;8;
2025-06-19;5;FO;3;0,75;1;
2025-06-19;5;FO;4;0,32;1;
2025-06-19;5;FO;5;0,14;0;
2025-06-30;1;FE;1;1,44;0;
2025-06-30;1;FE;2;1,46;2;
2025-06-30;1;FE;3;3,2;8;
2025-06-30;1;FE;4;1,06;3;
2025-06-30;1;FE;5;1,34;1;
2025-06-30;1;BE;1;1,48;1;
2025-06-30;1;BE;2;3,1;4;
2025-06-30;1;BE;3;3,11;9;
2025-06-30;1;BE;4;2,23;2;
2025-06-30;1;BE;5;3,46;5;
2025-06-30;1;FC;1;1,91;2;
2025-06-30;1;FC;2;1,55;3;
2025-06-30;1;FC;3;0,86;0;
2025-06-30;1;FC;4;1,17;1;
2025-06-30;1;FC;5;3,7;3;
2025-06-30;1;FO;1;2,39;3;
2025-06-30;1;FO;2;3,21;3;
2025-06-30;1;FO;3;1,3;2;
2025-06-30;1;FO;4;2,05;6;
2025-06-30;1;FO;5;1,73;1;
2025-06-30;2;FE;1;0,95;0;
2025-06-30;2;FE;2;0,82;0;
2025-06-30;2;FE;3;1,32;3;
2025-06-30;2;FE;4;2,08;3;
2025-06-30;2;FE;5;1,92;2;
2025-06-30;2;FC;1;1,06;1;
2025-06-30;2;FC;2;1,24;0;
2025-06-30;2;FC;3;1,2;1;
2025-06-30;2;FC;4;1,02;1;
2025-06-30;2;FC;5;1,2;0;
2025-06-30;2;BE;1;0,98;;NO SE PUEDEN ASOCIAR LAS LARVAS A ESTE PESO (APUNTADO EN ORDEN EQUIVOCADO)
2025-06-30;2;BE;2;1,23;;NO SE PUEDEN ASOCIAR LAS LARVAS A ESTE PESO (APUNTADO EN ORDEN EQUIVOCADO)
2025-06-30;2;BE;3;1,38;0;
2025-06-30;2;BE;4;1,23;;NO SE PUEDEN ASOCIAR LAS LARVAS A ESTE PESO (APUNTADO EN ORDEN EQUIVOCADO)
2025-06-30;2;BE;5;0,58;;NO SE PUEDEN ASOCIAR LAS LARVAS A ESTE PESO (APUNTADO EN ORDEN EQUIVOCADO)
2025-06-30;2;FO;1;4,63;6;
2025-06-30;2;FO;2;1,59;3;
2025-06-30;2;FO;3;2,92;0;
2025-06-30;2;FO;4;0,85;0;
2025-06-30;2;FO;5;1,16;5;
2025-06-30;3;FC;1;1,03;2;
2025-06-30;3;FC;2;0,84;3;
2025-06-30;3;FC;3;1,85;10;
2025-06-30;3;FC;4;2,3;7;
2025-06-30;3;FC;5;2,1;5;
2025-06-30;3;BE;1;0,67;3;
2025-06-30;3;BE;2;1,8;1;
2025-06-30;3;BE;3;6,1;10;
2025-06-30;3;BE;4;1,09;3;
2025-06-30;3;BE;5;1,49;4;
2025-06-30;3;FE;1;1,13;5;
2025-06-30;3;FE;2;1,19;8;
2025-06-30;3;FE;3;4,9;1;
2025-06-30;3;FE;4;1,12;7;
2025-06-30;3;FE;5;1,18;3;
2025-06-30;3;FO;1;1,76;5;
2025-06-30;3;FO;2;2,64;9;
2025-06-30;3;FO;3;0,47;2;
2025-06-30;3;FO;4;1,16;1;
2025-06-30;3;FO;5;1,38;5;
2025-06-30;4;FO;1;0,25;2;
2025-06-30;4;FO;2;1,5;5;
2025-06-30;4;FO;3;1,1;2;
2025-06-30;4;FO;4;0,7;4;
2025-06-30;4;FO;5;1,14;4;
2025-06-30;4;FC;1;1,64;2;
2025-06-30;4;FC;2;0,47;1;
2025-06-30;4;FC;3;0,42;1;
2025-06-30;4;FC;4;1,06;3;
2025-06-30;4;FC;5;0,95;5;
2025-06-30;4;BE;1;1,13;0;
2025-06-30;4;BE;2;0,99;4;
2025-06-30;4;BE;3;0,57;1;
2025-06-30;4;BE;4;1,61;1;
2025-06-30;4;BE;5;0,88;1;
2025-06-30;4;FE;1;1,78;1;
2025-06-30;4;FE;2;0,36;1;
2025-06-30;4;FE;3;1,95;1;
2025-06-30;4;FE;4;1,66;4;
2025-06-30;4;FE;5;0,8;2;
2025-06-30;5;BE;1;1,93;12;
2025-06-30;5;BE;2;1,45;7;
2025-06-30;5;BE;3;0,79;5;
2025-06-30;5;BE;4;0,74;6;
2025-06-30;5;BE;5;0,74;4;
2025-06-30;5;FC;1;0,72;7;
2025-06-30;5;FC;2;2,04;3;
2025-06-30;5;FC;3;0,55;5;
2025-06-30;5;FC;4;0,3;5;
2025-06-30;5;FC;5;0,71;5;
2025-06-30;5;FE;1;1,49;6;
2025-06-30;5;FE;2;0,73;3;
2025-06-30;5;FE;3;0,67;8;
2025-06-30;5;FE;4;0,8;4;
2025-06-30;5;FE;5;0,4;1;
2025-06-30;5;FO;1;0,54;4;
2025-06-30;5;FO;2;0,7;3;
2025-06-30;5;FO;3;0,68;8;
2025-06-30;5;FO;4;0,84;11;
2025-06-30;5;FO;5;1,23;7;
